obs,time,elapsed,date,hhmmss,Round,ShrubID,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
11,1569606069,559,20190927 11:41:09,11:41:09,1,7,1569606065,2.14E-04,0.604227222,397.2736154,237.4500667,19.79034651,33.11088777,0.006740437,1.75260579,0.006726069,0.004205081,152.8325484,31.79868488,31.75117692,4.708244053,49.5961903,2.168567714,4.372448167,2.539676339,-9.427445287,-122.7066886,-15.73817376,4.960240721,-0.000999484,0.019304191,2.352986541,36,4,1,0,43450.65583,799.7516923,391.8783292,0.49,0.39,36,0.5,0: Broadleaf,1569606065,397.2736154,399.7545385,26.01907692,25.26952308,1000.012769,83.14533846,0.199959308,30.45250769,31.75117692,31.92441538,0,0,9996.632308,799.7516923,168.7463077,1569605815,11:36:54,2,-0.473,0.294,400,26,0.69,0.1,-2.582423415,0.745970383,0.094937889,0,0.756512024,0.017699373,0.025257733,1,1,2,1/2,100,100,-0.473,0.294,2,1056.7,490.577,30.0563,29.147,30.0008,28.7734,28.6898,29.4423,34.0287,91.3067,-999.9,400,25.2568,101.252,102.46
12,1569606072,562,20190927 11:41:12,11:41:12,1,7,1569606068,2.07E-04,0.611562663,397.3186923,231.1396508,19.26427557,33.11442564,0.006525164,1.752416913,0.006511696,0.004071018,157.1236401,31.75872898,31.73330769,4.703475504,49.79210943,2.16675825,4.351609671,2.536717255,-9.116027866,-128.8867495,-16.52434971,2.596512989,-0.000999285,0.019300336,2.352677789,36,4,1,0,43454.2673,822.2063846,402.8811285,0.49,0.39,36,0.5,0: Broadleaf,1569606068,397.3186923,399.8159231,25.99753846,25.27273846,1000.026308,83.14473846,0.200007923,30.36908462,31.73330769,31.91677692,0,0,9994.708462,822.2063846,172.909,1569605815,11:36:54,2,-0.473,0.294,400,26,0.69,0.1,-2.551617805,0.516485436,0.076046566,0,0.750095024,-0.106601352,0.030721893,0,0,2,0/2,100,100,-0.473,0.294,2,1057.05,490.985,30.0602,29.152,30.0007,28.7792,28.6957,29.4471,34.0287,91.3067,-999.9,400,25.0137,101.251,102.459
13,1569606245,735,20190927 11:44:05,11:44:05,1,9,1569606242,3.72E-05,-0.033796895,400.0966154,425.6468981,35.47537482,33.34589646,0.001154772,1.754173289,0.00115435,0.000721506,166.1278164,31.57289712,31.61483077,4.671965215,49.08041306,2.094569943,4.267629004,2.577395271,-1.64088027,-149.9437601,-19.16143528,-4.618259265,-0.001001142,0.019336202,2.355549623,24,2,1,0,43580.51546,869.324,425.96876,0.49,0.39,36,0.5,0: Broadleaf,1569606242,400.0966154,400.0285385,25.13143846,25.00085385,999.9881538,83.1447,0.199910231,30.02931538,31.61483077,31.50762308,0,0,10013.28615,869.324,206.9279231,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,0.040656106,0.174917897,0.040453945,0,0.041931113,0.871950782,0.08978585,0,0,2,0/2,100,100,-0.468,0.29,2,1071.02,496.663,29.9246,29.2749,30.0001,28.9544,28.8805,29.5463,36.6571,84.7877,-999.9,400,25.1203,101.241,102.445
14,1569606248,737.5,20190927 11:44:07,11:44:07,1,9,1569606244,3.66138E-05,-0.036636479,400.0984615,430.3917777,35.87074978,33.34597114,0.001132361,1.754125218,0.001131955,0.000707508,172.7891949,31.59525112,31.63923846,4.678441643,49.13704458,2.09211272,4.257709713,2.586328923,-1.614668792,-156.0793225,-19.94447558,-4.849271983,-0.001001091,0.019335219,2.355471001,23,2,1,0,43584.21559,904.1820769,443.0492177,0.49,0.39,36,0.5,0: Broadleaf,1569606244,400.0984615,400.0193077,25.10201538,24.97351538,1000.007846,83.1445,0.199912308,29.9888,31.63923846,31.52060769,0,0,10012.80154,904.1820769,214.8106154,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,0.043425006,0.239231186,0.042054551,0,0.062896369,0.702662579,0.077500844,0,0,2,0/2,100,100,-0.468,0.29,2,1071.3,496.754,29.9263,29.2764,30.0001,28.9559,28.8826,29.5472,36.3653,84.7877,-999.9,400,24.9712,101.242,102.446
15,1569606251,740.5,20190927 11:44:10,11:44:10,1,9,1569606247,2.97261E-05,-0.042107268,400.0981538,451.7890027,37.65423001,33.34607045,0.000911663,1.752513569,0.0009114,0.000569648,187.5162429,31.61823424,31.70883077,4.696950465,49.40873435,2.089254142,4.228511759,2.607696323,-1.310922885,-173.8241778,-22.22695071,-9.845808451,-0.000999387,0.019302309,2.352835787,23,2,1,0,43530.27489,981.2466923,480.8108792,0.49,0.39,36,0.5,0: Broadleaf,1569606247,400.0981538,399.9893846,25.06762308,24.96329231,1000.007231,83.14473077,0.199993846,29.86906154,31.70883077,31.56039231,0,0,9995.730769,981.2466923,232.7226923,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,0.051023133,0.422625037,0.04930035,0,0.087265957,0.321353435,0.049195388,0,0,2,0/2,100,100,-0.468,0.29,2,1072.14,496.752,29.9278,29.2764,30.0001,28.9578,28.8845,29.549,36.3653,84.3908,-999.9,400,24.9603,101.243,102.445
16,1569606442,932,20190927 11:47:22,11:47:22,1,11,1569606439,0.000195813,0.273799969,398.728,324.8634065,27.07382682,33.22963622,0.00748056,1.755292207,0.007462894,0.004665893,85.381863,29.21885273,29.05500769,4.034592043,49.30713386,1.926122587,3.906377103,2.108469456,-8.635351085,-52.72638407,-6.598512521,17.42161532,-0.001002326,0.019359078,2.35738002,80,8,1,0,43851.44066,446.7915385,218.9278538,0.49,0.39,36,0.5,0: Broadleaf,1569606439,398.728,399.9948462,23.11186923,22.42318462,999.9271538,83.13903846,0.200070462,28.49783077,29.05500769,29.00600769,0,0,10025.81538,446.7915385,118.1534615,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,-1.29577561,0.327613798,0.038461769,0,0.740879171,-0.618615282,0.068606714,0,0,2,0/2,100,100,-0.468,0.29,2,1008.66,486.277,29.4113,29.0064,29.9992,28.8291,28.7582,29.5088,41.651,72.0698,-999.9,400,22.465,101.318,102.472
17,1569606445,935,20190927 11:47:25,11:47:25,1,11,1569606441,0.000195924,0.269475015,398.7565385,325.8527483,27.15621009,33.23193187,0.007487145,1.753113027,0.007469426,0.00466998,85.0272696,29.22350101,29.04957692,4.033324846,49.27006291,1.925483776,3.908019722,2.10784107,-8.640253496,-51.46350721,-6.448531557,18.47497733,-0.00100002,0.019314545,2.353815802,80,8,1,0,43753.66268,444.936,218.01864,0.49,0.39,36,0.5,0: Broadleaf,1569606441,398.7565385,400.008,23.10426154,22.41517692,999.9218462,83.1388,0.200101462,28.50506923,29.04957692,29.00344615,0,0,10002.78077,444.936,117.6436923,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,-1.276312195,0.292137073,0.035093335,0,0.715656634,-0.379277038,0.048565468,0,0,2,0/2,100,100,-0.468,0.29,2,1008.82,486.229,29.3983,28.999,29.9991,28.8229,28.7527,29.5099,41.651,72.0698,-999.9,400,22.4633,101.32,102.474
18,1569606448,938,20190927 11:47:28,11:47:28,1,11,1569606444,0.000195415,0.263681247,398.7822308,326.9303576,27.24586776,33.23389116,0.007465732,1.752226536,0.007448105,0.004656646,84.6535662,29.23180249,29.04793077,4.032940807,49.21403376,1.924555874,3.910583481,2.108384932,-8.617791844,-50.21523862,-6.295604696,19.52493104,-0.000999084,0.019296452,2.352366604,80,8,1,0,43712.70458,442.9804615,217.0604262,0.49,0.39,36,0.5,0: Broadleaf,1569606444,398.7822308,400.0120769,23.09325385,22.40597692,999.9568462,83.13845385,0.199991538,28.51636154,29.04793077,28.9989,0,0,9993.452308,442.9804615,117.1094615,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,-1.259379512,0.290436376,0.035026472,0,0.696696634,-0.151708578,0.026024383,0,0,2,0/2,100,100,-0.468,0.29,2,1008.63,486.31,29.3857,28.9915,29.9991,28.8174,28.7478,29.5092,41.377,71.6993,-999.9,400,22.4698,101.323,102.475
19,1569606753,1242.5,20190927 11:52:32,11:52:32,1,13,1569606749,5.5499E-05,-0.097000366,400.2879231,453.6281517,37.80757029,33.36193694,0.002200168,1.751653351,0.002198634,0.001374284,142.9290849,28.45429612,27.94674615,3.78307448,48.49629959,1.749063484,3.606591633,2.034010997,-2.447507518,-77.1237223,-9.553263441,53.80459164,-0.000998478,0.019284761,2.351429811,58,6,1,0,43889.22431,747.9282308,366.4848331,0.49,0.39,36,0.5,0: Broadleaf,1569606749,400.2879231,400.0186923,20.98586154,20.79025385,999.9792308,83.14483077,0.200019308,27.13006154,27.94674615,27.77359231,0,0,9986.631538,747.9282308,203.1773846,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,0.285704829,0.039220077,0.030266402,1,0.231283829,-0.159429115,0.032316264,0,1,2,1/2,100,100,-0.468,0.29,2,1032.32,465.692,28.0047,28.1676,29.9991,28.1277,28.0917,29.3962,41.276,50.7168,-999.9,400,21.2661,101.508,102.566
20,1569606756,1246,20190927 11:52:36,11:52:36,1,13,1569606752,3.23254E-05,-0.094818838,400.2933846,502.2176999,41.85745894,33.36255157,0.001259904,1.752366939,0.001259401,0.000787171,153.0543567,28.5666132,28.09971538,3.816955346,48.47638374,1.749142365,3.608236074,2.067812981,-1.425549985,-90.87270857,-11.26079456,49.49530359,-0.000999232,0.019299317,2.352596101,58,6,1,0,43919.87583,800.9123846,392.4470685,0.49,0.39,36,0.5,0: Broadleaf,1569606752,400.2933846,399.9986154,20.98670769,20.87277692,999.986,83.14521538,0.200033,27.13783077,28.09971538,27.88983846,0,0,9994.123077,800.9123846,227.7386923,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,0.296825854,0.024249115,0.029956047,1,0.200041837,-0.696911349,0.076998,0,1,2,1/2,100,100,-0.468,0.29,2,1032.5,465.428,27.9935,28.1593,29.9993,28.1194,28.0847,29.3978,40.9978,50.3272,-999.9,400,21.2749,101.509,102.566
21,1569606762,1251.5,20190927 11:52:41,11:52:41,1,13,1569606758,-4.6819E-06,-0.07410724,400.2875385,-268.7020286,-22.39519862,33.36230461,-0.000177968,1.753315458,-0.000177978,-0.000111235,162.7152261,28.71448363,28.35777692,3.87471311,48.55359409,1.756277828,3.61719428,2.118435281,0.206471654,-111.3196085,-13.80776636,37.79432294,-0.001000234,0.019318678,2.354146786,58,6,1,0,43955.96025,851.4663846,417.2185285,0.49,0.39,36,0.5,0: Broadleaf,1569606758,400.2875385,400.014,21.07216923,21.08866923,999.9794615,83.14586923,0.199979462,27.1801,28.35777692,28.09014615,0,0,10004.07077,851.4663846,254.0276154,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,0.292462537,-0.179067805,0.036090601,0,0.128218985,-1.042350716,0.108718904,0,0,2,0/2,100,100,-0.468,0.29,2,1032.65,465.073,27.9762,28.1461,29.9992,28.1062,28.0727,29.3956,40.9978,49.9455,-999.9,400,21.2625,101.513,102.567
22,1569606952,1441.5,20190927 11:55:51,11:55:51,1,15,1569606948,9.70909E-05,0.167086105,399.3073077,295.6503613,24.63950889,33.27828153,0.00310242,1.753568958,0.003099374,0.001937382,315.245028,30.56639653,30.32899231,4.341625721,49.18259492,1.82754741,3.715841779,2.514078311,-4.281706552,-254.2486901,-31.91602683,24.79860453,-0.001000502,0.019323855,2.354561301,23,2,1,0,43899.92688,1649.633846,808.3205846,0.49,0.39,36,0.5,0: Broadleaf,1569606948,399.3073077,400.0483846,21.92880769,21.58694615,1000.002385,83.14002308,0.200003231,27.63962308,30.32899231,30.7501,0,0,10007.45538,1649.633846,348.0981538,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,-0.739877195,0.050706272,0.021983759,1,0.202864268,0.905076669,0.097418931,0,1,2,1/2,100,100,-0.468,0.29,2,1071.19,467.197,27.7525,27.9541,30.0002,27.8671,27.8481,29.4401,39.7421,36.727,-999.9,400,21.7051,101.558,102.579
23,1569606954,1443.5,20190927 11:55:53,11:55:53,1,15,1569606950,9.67E-05,0.166440346,399.313,294.6380345,24.55494362,33.27848768,0.003059382,1.75378353,0.00305642,0.001910528,319.011315,30.63240178,30.41669231,4.36349111,49.03403152,1.825310723,3.722538545,2.538180387,-4.263402693,-259.6589671,-32.61041076,22.4785344,-0.001000729,0.019328238,2.35491219,23,2,1,0,43904.96116,1669.342308,817.9777308,0.49,0.39,36,0.5,0: Broadleaf,1569606950,399.313,400.0511538,21.90214615,21.56173846,1000.007385,83.13933846,0.200016077,27.67043077,30.41669231,30.83394615,0,0,10009.80769,1669.342308,352.1087692,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,-0.735633049,0.011709993,0.019352901,1,0.22380639,0.910724007,0.09782951,0,1,2,1/2,100,100,-0.468,0.29,2,1071.4,467.163,27.7548,27.9553,30.0001,27.8671,27.8481,29.438,39.4586,36.3517,-999.9,400,21.8213,101.558,102.578
24,1569606957,1446.5,20190927 11:55:56,11:55:56,1,15,1569606953,8.97E-05,0.169260787,399.3076923,285.232395,23.77092598,33.27782455,0.002806847,1.753537078,0.002804354,0.001752945,315.856695,30.67702489,30.518,4.388868552,48.74389515,1.822083018,3.7380743,2.566785534,-3.956454636,-262.4607606,-32.99519837,16.44428138,-0.001000469,0.019323204,2.354509169,22,2,1,0,43883.57967,1652.834615,809.8889615,0.49,0.39,36,0.5,0: Broadleaf,1569606953,399.3076923,400.046,21.86356154,21.54764615,999.9971538,83.1388,0.200001615,27.74171538,30.518,30.927,0,0,10007.26538,1652.834615,348.2248462,1569606185,11:43:04,3,-0.468,0.29,400,26,0.37,0.06,-0.734890951,-0.078606,0.019541704,1,0.250083293,0.765571171,0.090098373,0,1,2,1/2,100,100,-0.468,0.29,2,1072.18,467.299,27.7586,27.956,30.0002,27.8671,27.8481,29.4392,38.8639,36.3517,-999.9,400,21.879,101.558,102.578
25,1569607944,2433.4,20190927 12:12:23,12:12:23,2,3,1569607940,5.56E-05,0.313197465,398.8256154,98.08903452,8.1731271,33.23156825,0.001740579,1.753959187,0.00173962,0.001087348,283.438638,30.96906634,30.72735385,4.441719159,48.62781017,1.880813263,3.867772897,2.560905896,-2.450848049,-226.9812256,-28.64056391,25.36600042,-0.001000915,0.019331827,2.355199459,31,3,1,0,43816.75996,1483.195385,726.7657385,0.49,0.39,36,0.5,0: Broadleaf,1569607940,398.8256154,400.0329231,22.57240769,22.37685385,999.9966154,83.12353846,0.200016923,28.32694615,30.72735385,30.82386923,0,0,10013.56923,1483.195385,1645.095385,1569607882,12:11:21,4,-0.23,0.29,400,26,0.3,0.06,-1.170007073,-0.374488014,0.04355753,0,0.19218061,0.0451237,0.017423305,1,1,2,1/2,100,100,-0.23,0.29,2,1063.18,449.351,27.6081,28.75,30.0006,28.6022,28.5702,29.2967,36.6023,14.1282,-999.9,400,22.4411,101.369,102.426
26,1569607947,2436.4,20190927 12:12:26,12:12:26,2,3,1569607943,6.37078E-05,0.316449494,398.8038462,125.4644106,10.45412567,33.22970638,0.001951132,1.752793682,0.001949927,0.001218812,305.911851,31.2058847,30.96715385,4.502936254,48.65758668,1.884952363,3.873912562,2.617983891,-2.809515542,-246.9131077,-31.21768494,24.97154285,-0.000999683,0.019308025,2.353293702,30,3,1,0,43761.06229,1600.794615,784.3893615,0.49,0.39,36,0.5,0: Broadleaf,1569607943,398.8038462,400.0345385,22.62211538,22.39795385,999.9925385,83.12344615,0.199988923,28.35422308,30.96715385,31.08246923,0,0,10001.25154,1600.794615,1771.842308,1569607882,12:11:21,4,-0.23,0.29,400,26,0.3,0.06,-1.19109,-0.330828293,0.038576409,0,0.200159366,0.148281554,0.024976216,0,0,2,0/2,100,100,-0.23,0.29,2,1063.74,449.359,27.621,28.7537,30.0005,28.6052,28.5732,29.2948,36.6023,14.1282,-999.9,400,22.4387,101.369,102.425
