obs,time,elapsed,date,hhmmss,Round,ShrubID,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1569605510,0,20190927 11:31:50,11:31:50,1,1,1569605507,8.23E-05,0.313873954,398.7979231,163.5402321,13.63340184,33.24547279,0.002293523,1.751656084,0.002291856,0.00143256,270.505872,32.42284659,32.64744615,4.952886377,49.17476729,2.084849052,4.239672431,2.868037325,-3.630456034,-258.0473159,-33.17384007,-24.34574005,-0.000998481,0.019284816,2.351434276,22,2,1,0,43486.26041,1415.52,693.6048,0.49,0.39,36,0.5,0: Broadleaf,1569605507,398.7979231,400.046,25.00892308,24.71998462,1000.046923,83.16426923,0.199938231,29.91491538,32.64744615,31.58209231,0,0,9984.326154,1415.52,329.1009231,1569605398,11:29:58,1,-0.512,0.292,399,26,0.45,0.19,-1.282001707,0.238747072,0.034292924,0,0.227750162,0.889404284,0.106979165,0,0,2,0/2,100,100,-0.512,0.292,2,1073.08,469.323,28.7782,27.5208,30.0009,27.1909,27.1256,29.0045,26.2592,100,-999.9,400,24.7147,101.573,102.695
2,1569605514,3.5,20190927 11:31:53,11:31:53,1,1,1569605510,7.437E-05,0.317055272,398.7722308,140.6443665,11.72482537,33.24366901,0.002090776,1.753294888,0.002089392,0.001305994,258.16287,32.2965255,32.55971538,4.928461095,49.23479398,2.085994397,4.236829747,2.842466698,-3.279716951,-251.0991253,-32.23459164,-28.45056392,-0.001000213,0.019318258,2.354113152,20,2,1,0,43560.29355,1350.930769,661.9560769,0.49,0.39,36,0.5,0: Broadleaf,1569605510,398.7722308,400.0203846,25.02240769,24.76137692,1000.007385,83.1651,0.199955154,29.90324615,32.55971538,31.55453846,0,0,10001.54,1350.930769,313.4275385,1569605398,11:29:58,1,-0.512,0.292,399,26,0.45,0.19,-1.280584878,0.27596018,0.034267985,0,0.261232151,0.29313981,0.062797061,0,0,2,0/2,100,100,-0.512,0.292,2,1074.52,467.905,28.7869,27.5327,30.0009,27.1995,27.1346,29.0053,26.6715,100,-999.9,400,24.5885,101.572,102.693
3,1569605518,8,20190927 11:31:58,11:31:58,1,1,1569605514,6.67769E-05,0.319916251,398.7714615,116.6955247,9.728233068,33.24327755,0.001913254,1.753747623,0.001912095,0.001195164,248.801763,32.01775633,32.37772308,4.878126357,49.8448848,2.088409376,4.189816838,2.789716981,-2.944862093,-252.2978132,-32.32012998,-38.76104228,-0.001000691,0.019327505,2.354853469,20,2,1,0,43608.19766,1301.945385,637.9532385,0.49,0.39,36,0.5,0: Broadleaf,1569605514,398.7714615,400.0190769,25.05162308,24.81723846,999.9571538,83.16420769,0.200026615,29.70926154,32.37772308,31.46810769,0,0,10006.43462,1301.945385,301.4556923,1569605398,11:29:58,1,-0.512,0.292,399,26,0.45,0.19,-1.259474146,0.149876415,0.023564279,0,0.275496122,-0.318389165,0.03622357,0,0,2,0/2,100,100,-0.512,0.292,2,1075.43,467.361,28.7995,27.5473,30.001,27.2113,27.1462,29.0044,27.7862,100,-999.9,400,24.2792,101.57,102.691
4,1569605661,151,20190927 11:34:21,11:34:21,1,3,1569605658,0.000133163,0.275818268,398.7315385,252.2874744,21.02536788,33.22985931,0.003490389,1.750994745,0.003486528,0.002179426,288.879402,32.87247029,33.32393077,5.144792064,48.69498712,2.100135878,4.312837938,3.044656185,-5.872485696,-293.6765187,-37.95044341,-48.62004579,-0.000997783,0.019271334,2.350353622,18,2,1,0,43413.83919,1511.666154,740.7164154,0.49,0.39,36,0.5,0: Broadleaf,1569605658,398.7315385,399.9156154,25.19993846,24.73263846,1000.013,83.13892308,0.200005769,30.21293846,33.32393077,34.33268462,0,0,9980.387692,1511.666154,353.8757692,1569605398,11:29:58,1,-0.512,0.292,399,26,0.45,0.19,-1.182947805,-0.070814007,0.020700788,1,0.53044139,-0.560140244,0.055401241,0,1,2,1/2,100,100,-0.512,0.292,2,1077.22,463.868,29.1148,28.0069,30.0014,27.6277,27.5586,28.9743,28.5625,99.2549,-999.9,400,25.0842,101.472,102.624
5,1569605664,153.5,20190927 11:34:23,11:34:23,1,3,1569605660,0.000124573,0.276103662,398.7411538,245.2229404,20.43642072,33.2303412,0.003298603,1.751213414,0.003295155,0.002059782,286.763778,32.86190723,33.21753846,5.114188648,48.6739628,2.099959911,4.314339311,3.014228737,-5.493677975,-283.0955405,-36.56041942,-38.3858599,-0.000998014,0.019275791,2.35071091,18,2,1,0,43422.58751,1500.595385,735.2917385,0.49,0.39,36,0.5,0: Broadleaf,1569605660,398.7411538,399.9139231,25.19806923,24.76091538,1000.021154,83.13810769,0.20002,30.21900769,33.21753846,34.18706154,0,0,9982.793846,1500.595385,350.5966923,1569605398,11:29:58,1,-0.512,0.292,399,26,0.45,0.19,-1.179316829,-0.027431498,0.023194858,1,0.509612488,-0.595765819,0.059203576,0,1,2,1/2,100,100,-0.512,0.292,2,1077.61,463.913,29.1226,28.0167,30.0014,27.6364,27.568,28.9771,28.2923,98.8766,-999.9,400,25.1,101.47,102.622
6,1569605668,158,20190927 11:34:28,11:34:28,1,3,1569605664,9.69663E-05,0.267638397,398.7708462,216.3707864,18.03168713,33.23235662,0.002611166,1.754417271,0.002609009,0.001630824,267.958362,32.75855615,33.0509,5.066573882,48.54844597,2.102498322,4.330722189,2.96407556,-4.276213565,-261.5993701,-33.70579019,-31.62301187,-0.0010014,0.019341188,2.355948688,18,2,1,0,43554.35856,1402.189231,687.0727231,0.49,0.39,36,0.5,0: Broadleaf,1569605664,398.7708462,399.8735385,25.22887692,24.88860769,1000.007538,83.13703077,0.199945692,30.28511538,33.0509,33.98011538,0,0,10016.79231,1402.189231,326.2308462,1569605398,11:29:58,1,-0.512,0.292,399,26,0.45,0.19,-1.160887805,0.393520976,0.049459588,0,0.443656098,-0.821753895,0.083836196,0,0,2,0/2,100,100,-0.512,0.292,2,1077.66,464.102,29.1373,28.0346,30.0014,27.6523,27.5843,28.983,27.9924,98.8766,-999.9,400,25.2352,101.466,102.619
7,1569605905,394.5,20190927 11:38:24,11:38:24,1,5,1569605901,5.07059E-05,0.032850949,399.745,335.0961133,27.92868661,33.31686756,0.001274557,1.752294034,0.001274042,0.000796322,321.109593,33.65948831,33.9958,5.341758446,49.12127733,2.174241704,4.426272731,3.167516743,-2.236131775,-314.5280658,-40.84036829,-36.49497285,-0.000999155,0.019297829,2.352476932,45,4,1,0,43406.32215,1680.322308,823.3579308,0.49,0.39,36,0.5,0: Broadleaf,1569605901,399.745,399.9362308,26.08715385,25.90937692,1000.013846,83.14516154,0.20014,30.66639231,33.9958,35.18583846,0,0,9993.359231,1680.322308,411.8653077,1569605815,11:36:54,2,-0.473,0.294,400,26,0.69,0.1,-0.057014261,-0.386312001,0.129578129,0,-0.019008269,1.278699973,0.134380498,0,0,2,0/2,100,100,-0.473,0.294,2,1047.51,478.357,29.7192,28.8417,30.0009,28.4265,28.3371,29.199,30.2281,95.8776,-999.9,400,25.8403,101.309,102.503
8,1569605909,398.5,20190927 11:38:28,11:38:28,1,5,1569605905,5.9968E-05,0.023332535,399.8079231,350.8402522,29.24084897,33.322069,0.001498412,1.753618588,0.001497701,0.000936127,322.285005,33.75634611,34.04512308,5.356473006,48.76871554,2.170010738,4.449595841,3.186462268,-2.644587175,-310.7332758,-40.34511461,-31.43797263,-0.001000555,0.019324869,2.354642459,44,4,1,0,43451.49495,1686.473077,826.3718077,0.49,0.39,36,0.5,0: Broadleaf,1569605905,399.8079231,399.9782308,26.03642308,25.82616154,1000.010769,83.14521538,0.199978846,30.75836923,34.04512308,35.23337692,0,0,10007.35538,1686.473077,413.6806923,1569605815,11:36:54,2,-0.473,0.294,400,26,0.69,0.1,-0.078646771,-0.70751954,0.137182986,0,0.051190195,1.362909097,0.141217379,0,0,2,0/2,100,100,-0.473,0.294,2,1048.39,478.458,29.7319,28.8516,30.0008,28.438,28.3467,29.201,29.5415,95.8776,-999.9,400,26.1038,101.308,102.502
9,1569605913,402.5,20190927 11:38:32,11:38:32,1,5,1569605909,4.50882E-05,0.010605171,399.8465385,360.1410572,30.01625488,33.32554113,0.001118105,1.753757314,0.001117709,0.000698604,324.482802,33.82479841,34.11222308,5.376547543,48.57386054,2.16653571,4.460291372,3.210011833,-1.988388611,-313.1273899,-40.67455962,-31.30753613,-0.001000702,0.019327703,2.354869318,44,4,1,0,43451.60414,1697.973846,832.0071846,0.49,0.39,36,0.5,0: Broadleaf,1569605909,399.8465385,399.9496154,25.99453077,25.83643846,1000.036462,83.14580769,0.200021077,30.80040769,34.11222308,35.2911,0,0,10008.75154,1697.973846,416.6082308,1569605815,11:36:54,2,-0.473,0.294,400,26,0.69,0.1,-0.075914334,-0.771332576,0.137873457,0,0.102095707,0.901323412,0.115824995,0,0,2,0/2,100,100,-0.473,0.294,2,1048.85,479.833,29.7446,28.8633,30.0009,28.4477,28.3568,29.2083,29.2413,95.4957,-999.9,400,26.1763,101.307,102.501
10,1569606066,556,20190927 11:41:06,11:41:06,1,7,1569606063,0.00022067,0.60782488,397.2345385,240.7678808,20.06693985,33.10774496,0.006948425,1.752299765,0.006933154,0.00433459,150.9927699,31.81003417,31.7723,4.713886344,49.55620405,2.170706909,4.380292943,2.543179435,-9.731544542,-121.7223955,-15.61869435,3.920135507,-0.000999161,0.019297946,2.3524863,37,4,1,0,43432.69722,790.1243846,387.1609485,0.49,0.39,36,0.5,0: Broadleaf,1569606063,397.2345385,399.7382308,26.04465385,25.27094615,1000.018,83.14564615,0.199938769,30.48382308,31.7723,31.94266923,0,0,9993.361538,790.1243846,166.9214615,1569605815,11:36:54,2,-0.473,0.294,400,26,0.69,0.1,-2.634480244,1.066196864,0.124554432,0,0.763427293,0.049290272,0.023448407,1,1,2,1/2,100,100,-0.473,0.294,2,1055.88,490.362,30.052,29.142,30.0006,28.7676,28.6835,29.44,34.0287,91.6804,-999.9,400,25.2622,101.253,102.461
